"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,97539,"94065","CA","San Francisco","San Mateo","Redwood City",6867,1358300,-0.0039598152086236,-0.00191050040414432,0.0583606046439146,0.132260788378475,0.0435354523843723,"2016-07","2016-Q3",1364600,-0.00461673750549612,"2016-05"
2016-09-30,58767,"02458","MA","Boston","Middlesex","Newton",6868,833700,0.0046999276934201,0.0133706089704631,0.0472302474563497,0.0651406505207721,0.0275179671150276,"2016-09","2016-Q3",833700,0,"2016-09"
2016-09-30,85335,"62206","IL","St. Louis","Saint Clair","Cahokia",6869,40500,0,0.00247524752475248,0.0175879396984925,-0.0182194803946228,-0.039972280118281,"2007-06","2007-Q2",65200,-0.378834355828221,"2000-06"
2016-09-30,94959,"85387","AZ","Phoenix","Maricopa","Surprise",6870,282900,0.00568787771062922,0.0099964298464834,0.0205627705627706,0.0385951895628842,-0.024515181668697,"2006-02","2006-Q1",365800,-0.226626571897212,"2004-12"
2016-09-30,68441,"25071","WV","Charleston","Kanawha","Elkview",6871,112600,0.00267141585040071,0.0107719928186715,0.0632672332389046,0.0341422661572326,0.0268392593957485,"2016-09","2016-Q3",112600,0,"2016-09"
2016-09-30,82259,"55409","MN","Minneapolis-St Paul","Hennepin","Minneapolis",6872,253600,0.00634920634920635,0.0217566478646253,0.0736663844199831,0.0632796987717823,0.00510913625848741,"2016-09","2016-Q3",253600,0,"2016-09"
2016-09-30,64435,"16057","PA","Pittsburgh","Butler","Slippery Rock Township",6873,174700,-0.0005720823798627,-0.00625711035267349,0.0222352252779403,0.0297237581227556,0.0169304250306288,"2016-06","2016-Q2",175800,-0.00625711035267349,"2016-05"
2016-09-30,100052,"99006","WA","Spokane","Spokane","Deer Park",6874,219900,0.0114995400183993,0.0377536573855592,0.138788192646297,0.0489033400186945,0.0121936948612416,"2016-09","2016-Q3",219900,0,"2016-09"
2016-09-30,58722,"02333","MA","Boston","Plymouth","East Bridgewater",6875,325000,0.00463678516228748,0.0210493245366007,0.0645266950540452,0.0346533424717101,-0.00263823407016917,"2005-08","2005-Q3",348400,-0.0671641791044776,"2004-05"
2016-09-30,91012,"75652","TX","Longview","Rusk","Henderson",6876,112600,0.00446030330062444,0.0144144144144144,0.0723809523809524,0.0195710581138675,,"2016-09","2016-Q3",112600,0,"2016-09"
2016-09-30,77676,"45439","OH","Dayton","Montgomery","Moraine",6877,74700,0,0.00673854447439353,-0.00532623169107856,0.00795056240866243,-0.0207217763118044,"2008-02","2008-Q1",94700,-0.211193241816262,"1997-09"
2016-09-30,65516,"18508","PA","Scranton","Lackawanna","Scranton",6878,66400,0.00302114803625378,0.00911854103343465,-0.0278184480234261,-0.0263894736476552,-0.010107408301979,"2009-05","2009-Q2",79400,-0.163727959697733,"2005-07"
2016-09-30,97094,"93015","CA","Ventura","Ventura","Fillmore",6879,406400,0,0.00320908417674648,0.0822902796271638,0.101261882893137,-0.0259836988902296,"2006-06","2006-Q2",537500,-0.243906976744186,"2004-08"
2016-09-30,93577,"80863","CO","Colorado Springs","Teller","Woodland Park",6880,281200,0.0115107913669065,0.034965034965035,0.0886566008517228,0.0494552393844374,0.0127246977432232,"2016-09","2016-Q3",281200,0,"2016-09"
2016-09-30,88820,"70811","LA","Baton Rouge","East Baton Rouge","Baton Rouge",6881,105000,0.00286532951289398,0.00671140939597316,-0.00190114068441065,0.0265637721666823,,"2015-10","2015-Q4",105800,-0.00756143667296786,"2015-09"
2016-09-30,63873,"15063","PA","Pittsburgh","Washington","Monongahela",6882,105500,0.0144230769230769,0.0487077534791252,0.0282651072124756,0.0357664459814706,0.0216009461776436,"2016-09","2016-Q3",105500,0,"2016-09"
2016-09-30,71942,"32333","FL","Tallahassee","Gadsden","Havana",6883,123500,0.00243506493506494,-0.00803212851405622,-0.0104166666666667,-0.0118728023304071,-0.0287312620520662,"2006-10","2006-Q4",166600,-0.258703481392557,"2004-06"
2016-09-30,88707,"70615","LA","Lake Charles","Calcasieu","Lake Charles",6884,77800,-0.0189155107187894,-0.0637785800240674,-0.0500610500610501,0.0231139949082859,0.0125169121282531,"2009-11","2009-Q4",89700,-0.132664437012263,"2008-09"
2016-09-30,60924,"08030","NJ","Philadelphia","Camden","Gloucester City",6885,105300,0.0115273775216138,0.0105566218809981,0.0604229607250755,-0.0117313027079975,-0.0217509076643323,"2007-10","2007-Q4",138700,-0.240807498197549,"2005-05"
2016-09-30,84532,"60481","IL","Chicago","Will","Wilmington",6886,145500,0.0139372822299652,0.0232067510548523,0.0659340659340659,0.0184342204981236,-0.00624081081837424,"2007-02","2007-Q1",157200,-0.0744274809160305,"2006-05"
2016-09-30,78566,"47371","IN",,"Jay","Portland",6887,73800,0.00271739130434783,0.0137362637362637,0.0497866287339972,0.0548764158487032,-0.0127447768129941,"2006-01","2006-Q1",88200,-0.163265306122449,"2001-04"
