,Location,Zhvi
890,"40.12, -75.33",261500
891,"37.04, -122.1",831600
892,"34.19, -118.49",513000
893,"39.2, -76.85",362600
894,"33.61, -111.89",375300
895,"38.42, -77.4",320600
896,"44.94, -93.1",230900
897,"48.05, -122.14",301000
898,"29.76, -95.38",110500
899,"41.99, -71.5",157500
900,"38.48, -121.4",259600
901,"35.82, -78.65",166700
902,"40.51, -80.16",181000
903,"37.83, -122.22",1075500
904,"32.24, -110.95",187400
905,"25.77, -80.2",133600
906,"29.57, -81.21",174500
907,"42.2, -83.48",166500
908,"34.06, -118.31",512600
909,"43.06, -73.77",320400
910,"41.83, -87.68",162300
911,"38.79, -90.32",110300
912,"44.67, -93.24",323600
913,"34.76, -84.97",102500
914,"33.75, -118.13",852800
915,"33.38, -112.55",167600
916,"21.3, -157.85",535600
917,"47.3, -122.31",285700
918,"28.9, -81.2",130500
919,"39.95, -75.16",65200
920,"32.98, -96.89",198200
921,"29.45, -98.5",133700
922,"34.1, -118.32",780400
923,"38.69, -121.26",305500
924,"33.34, -112.06",258600
925,"42.37, -83.46",286300
926,"25.46, -80.45",169000
